network_size,centrality_measure,base_network,10rem_nodes_mean,10rem_nodes_SD,10rem_edges_mean,10rem_edges_SD,10rempropor_edges_mean,10rempropor_edges_SD,10add_edges_mean,10add_edges_SD,30rem_nodes_mean,30rem_nodes_SD,30rem_edges_mean,30rem_edges_SD,30rempropor_edges_mean,30rempropor_edges_SD,30add_edges_mean,30add_edges_SD
512,eigenvector,Jazz,0.9298451282,0.01508367939,0.9250023845,0.002782849987,0.9182188029,0.002987362766,0.9432665423,0.002066614478,0.859408359,0.01807340007,0.8495699765,0.005263711317,0.8339199693,0.005674766977,0.8988389035,0.003780405155
1024,eigenvector,Jazz,0.9358778864,0.01141195096,0.9322154305,0.00165592486,0.9246760104,0.001857124771,0.9504230587,0.001362461034,0.8721923562,0.01369966219,0.8651883954,0.003311294702,0.8524060033,0.003559978406,0.9117913688,0.002391061314
2048,eigenvector,Jazz,0.9444818172,0.008840061604,0.9418377879,0.001079099324,0.9337070694,0.001162704238,0.9585730347,0.0007561026311,0.8891797852,0.009664511837,0.8844778504,0.001919507121,0.8735766068,0.002111649387,0.926646347,0.001324035218
4096,eigenvector,Jazz,0.9501661561,0.006592902462,0.9489933694,0.0006329427195,0.9400274947,0.0007582672796,0.9646753978,0.0004692595085,0.9018387621,0.007010303555,0.8990708885,0.00126155601,0.8864640045,0.001303374827,0.9374871533,0.0008231480226
8192,eigenvector,Jazz,0.9553697515,0.005256649013,0.9543060659,0.0004182607096,0.943669933,0.0005114597742,0.9697158498,0.0002909030646,0.9122538056,0.005483117705,0.9101039106,0.0008169559491,0.8960439382,0.0008723541293,0.9464794228,0.0004580710346
8,degree,Dolphins,0.822271,0.128402,0.827619,0.073964,0.82659,0.069876,0.875404,0.072042,,,0.690263,0.125172,0.678998,0.112234,0.80417,0.133944
16,degree,Dolphins,0.850395,0.092018,0.871635,0.044768,0.881793,0.045288,0.883536,0.047304,,,0.721392,0.103222,0.722703,0.102798,0.755041,0.088595
32,degree,Dolphins,0.901026,0.077265,0.900009,0.033686,0.918717,0.030689,0.924799,0.033066,0.780576,0.12991,0.767379,0.061466,0.80043,0.056762,0.83595,0.047938
64,degree,Dolphins,0.910624,0.047787,0.90393,0.021768,0.919917,0.019904,0.895417,0.024899,0.763381,0.076109,0.753509,0.042807,0.781484,0.036447,0.759765,0.040477
128,degree,Dolphins,0.924247,0.026945,0.926371,0.012632,0.943193,0.011746,0.920211,0.014195,0.807785,0.04894,0.806313,0.024812,0.83473,0.021941,0.81548,0.023526
256,degree,Dolphins,0.930207,0.0246,0.928073,0.009618,0.944904,0.007557,0.924012,0.010327,0.81007,0.040132,0.809018,0.017707,0.844788,0.014494,0.830509,0.014638
512,degree,Dolphins,0.930381,0.021953,0.928469,0.006727,0.942819,0.005646,0.920812,0.007477,0.810067,0.031762,0.805389,0.013179,0.840512,0.010275,0.815631,0.011052
1024,degree,Dolphins,0.92941,0.01895,0.927896,0.004973,0.943388,0.004239,0.9139,0.00572,0.808601,0.025083,0.806807,0.009328,0.844798,0.007499,0.804593,0.008647
2048,degree,Dolphins,0.933411,0.011769,0.932632,0.003479,0.950476,0.002891,0.919903,0.003849,0.81909,0.01674,0.818051,0.006587,0.860593,0.004976,0.812111,0.005596
